221	S332.1	162.65	0.05
222	S331.1	162.17	0.05
223	S329.1	161.69	0.05
224	S328.1	161.21	0.05
225	S327.1	160.73	0.05
226	S327	160.25	0.05
227	S326.1	160.04	0.05
228	S325.1	159.83	0.05
229	S323.1	159.62	0.05
230	S323	159.41	0.05
231	S322	159.2	0.05
232	S321	158.99	0.05
233	S320	158.78	0.05
234	S319	158.57	0.05
235	S318	158.36	0.05
236	S317	158.15	0.05
237	S316	157.94	0.05
238	S315	157.73	0.05
239	S314	157.52	0.05
240	S313	157.31	0.05
241	S311+1	157.1	0.05
242	S307	156.89	0.05
243	S306	156.68	0.05
244	S305	156.47	0.05
245	S304	156.26	0.05
246	S303	156.05	0.05
247	S302	155.84	0.05
248	S301	155.63	0.05
249	S300	155.42	0.05
250	S299	155.21	0.05
251	S298	155	0.05
252	S297	154.79	0.05
253	S296+2	154.58	0.05
254	S296+1	154.37	0.05
255	S295	154.16	0.05
256	S294	153.95	0.05
257	S293	153.74	0.05
258	S292	153.53	0.05
259	S290+1	153.32	0.04
260	S290	153.11	0.04
261	S289	152.9	0.04
262	S287+2	152.69	0.04
263	S287+1	152.48	0.04
264	S286	152.27	0.04
265	S285	152.06	0.04
266	S284+1	151.85	0.04
267	S283+1	151.64	0.04
268	S282+1	151.43	0.04
269	S282	151.22	0.04
270	S281	151.01	0.04
271	S280	150.8	0.04
272	S278+1	150.59	0.04
273	S277+1	150.38	0.04
274	S277	150.17	0.04
275	S275+1	149.96	0.04
276	S274+2	149.75	0.04
277	S274+1	149.54	0.04
278	S273	149.33	0.04
279	S272+A	149.12	0.04
280	S272	148.91	0.04
281	S271	148.7	0.04
282	S270	148.49	0.04
283	S269	148.28	0.04
284	S267	148.07	0.04
285	S266	147.86	0.04
286	S265	147.65	0.04
287	S264	147.44	0.04
288	S263	147.23	0.04
289	S262+A	147.02	0.04
290	S262	147.01	0.04
291	S261	147	0.04
292	S260	146.99	0.04
293	S257	146.98	0.04
294	S256	146.97	0.04
295	S255	146.96	0.04
296	S254	146.95	0.04
297	S253+A	146.94	0.04
298	S253	146.93	0.04
299	S252+4	146.92	0.04
300	S252+3	146.91	0.04
301	S252+2	146.9	0.04
302	S252+A	146.89	0.04
303	S252+1	146.88	0.04
304	S252	146.87	0.04
305	S251	146.86	0.04
306	S250	146.85	0.04
307	S249	146.84	0.04
308	S248+1	146.83	0.04
309	S248	146.82	0.04
310	S247	146.81	0.04
311	S246+1	146.8	0.04
312	S246	146.79	0.04
313	S245	146.78	0.04
314	S244	146.77	0.04
315	S243	146.76	0.04
316	S242	146.75	0.04
