Q	COD	NH
63.2	1.39	0.07
63.35	1.39	0.07
63.51	1.39	0.07
63.66	1.39	0.07
63.82	1.39	0.07
63.97	1.39	0.07
64.12	1.39	0.07
64.28	1.39	0.07
64.43	1.39	0.07
64.59	1.39	0.07
64.74	1.39	0.06
64.9	1.39	0.06
65.05	1.39	0.06
65.2	1.39	0.06
65.36	1.39	0.06
65.51	1.39	0.06
65.67	1.4	0.06
65.82	1.4	0.06
65.97	1.4	0.06
66.13	1.4	0.06
66.28	1.4	0.06
66.44	1.4	0.06
66.59	1.4	0.06
66.75	1.4	0.06
66.9	1.4	0.06
66.73	1.4	0.06
66.57	1.4	0.06
66.4	1.41	0.06
66.23	1.41	0.06
66.07	1.41	0.06
65.9	1.41	0.06
65.73	1.41	0.06
65.57	1.41	0.06
65.4	1.42	0.06
65.23	1.42	0.06
65.07	1.42	0.06
64.9	1.42	0.06
64.73	1.42	0.06
64.57	1.42	0.06
64.4	1.43	0.06
64.23	1.43	0.06
64.07	1.43	0.06
63.9	1.43	0.06
63.73	1.43	0.06
63.57	1.44	0.06
63.4	1.44	0.06
63.23	1.44	0.06
63.07	1.44	0.06
62.9	1.44	0.06
62.66	1.44	0.06
62.42	1.45	0.06
62.18	1.45	0.06
61.93	1.45	0.06
61.69	1.45	0.06
61.45	1.45	0.06
61.21	1.46	0.06
60.97	1.46	0.06
60.72	1.46	0.06
60.48	1.46	0.06
60.24	1.46	0.06
60	1.46	0.06
59.76	1.47	0.06
59.52	1.47	0.06
59.28	1.47	0.06
59.03	1.47	0.06
58.79	1.47	0.06
58.55	1.48	0.06
58.31	1.48	0.07
58.07	1.48	0.07
57.82	1.48	0.07
57.58	1.48	0.07
57.34	1.48	0.07
57.1	1.49	0.07
57.14	1.49	0.07
57.17	1.49	0.07
57.21	1.49	0.07
57.25	1.49	0.07
57.29	1.49	0.07
57.32	1.5	0.07
57.36	1.5	0.07
57.4	1.5	0.07
57.44	1.5	0.07
57.47	1.5	0.07
57.51	1.51	0.07
57.55	1.51	0.07
57.59	1.51	0.07
57.62	1.51	0.07
57.66	1.51	0.07
57.7	1.51	0.07
57.74	1.52	0.07
57.78	1.52	0.07
57.81	1.52	0.07
57.85	1.52	0.07
57.89	1.52	0.07
57.92	1.52	0.07
57.96	1.53	0.07
58	1.53	0.07
58.32	1.53	0.07
58.63	1.53	0.07
58.95	1.53	0.07
59.27	1.54	0.07
59.58	1.54	0.07
59.9	1.54	0.07
60.22	1.54	0.07
60.53	1.54	0.07
60.85	1.54	0.07
61.17	1.55	0.07
61.48	1.55	0.07
61.8	1.55	0.07
62.12	1.55	0.07
62.43	1.55	0.07
62.75	1.56	0.07
63.07	1.56	0.07
63.38	1.56	0.07
63.7	1.56	0.07
64.02	1.56	0.07
64.33	1.56	0.07
64.65	1.57	0.07
64.97	1.57	0.07
65.28	1.57	0.07
65.6	1.57	0.07
65.8	1.57	0.07
66	1.58	0.07
66.2	1.58	0.07
66.4	1.58	0.07
66.6	1.58	0.07
66.8	1.58	0.07
67	1.58	0.07
67.2	1.59	0.07
67.4	1.59	0.07
67.6	1.59	0.07
67.8	1.59	0.07
