Q	COD	NH
15.2	7.1	0.15
22.3	7.08	0.15
21.1	7.07	0.15
22.3	7.05	0.15
22.3	7.03	0.15
25.4	7.02	0.15
19	7	0.15
16.8	6.98	0.15
16	6.97	0.15
17.6	6.95	0.15
17.6	6.93	0.15
15.6	6.92	0.15
14.2	6.9	0.15
22.3	6.88	0.15
14.9	6.87	0.15
17.2	6.85	0.15
18	6.83	0.15
18	6.82	0.14
18	6.8	0.14
18	6.78	0.14
18.5	6.77	0.14
19.5	6.75	0.14
19.5	6.73	0.14
20	6.72	0.14
16.8	6.7	0.14
16	6.68	0.14
16	6.67	0.14
16	6.65	0.14
16	6.63	0.14
16	6.62	0.14
16	6.6	0.14
16.4	6.58	0.14
16	6.57	0.14
16	6.55	0.14
14.9	6.53	0.14
14.2	6.52	0.14
21.7	6.5	0.14
16	6.48	0.14
14.2	6.47	0.13
14.5	6.45	0.13
14.5	6.43	0.13
14.9	6.42	0.13
14.9	6.4	0.13
14.9	6.38	0.13
14.5	6.37	0.13
11.1	6.35	0.13
13.5	6.33	0.13
14.5	6.32	0.13
15.6	6.3	0.13
15.6	6.29	0.13
14.9	6.27	0.13
14.5	6.26	0.13
14.5	6.25	0.13
14.5	6.23	0.13
14.5	6.22	0.13
14.9	6.21	0.13
21.7	6.2	0.13
19	6.18	0.13
18.5	6.17	0.13
14.9	6.16	0.13
21.7	6.14	0.13
20	6.13	0.13
14.9	6.12	0.13
14.5	6.1	0.13
17.6	6.09	0.13
17.6	6.08	0.13
18	6.06	0.13
14.9	6.05	0.13
10.5	6.04	0.13
16.4	6.03	0.13
16.8	6.01	0.13
17.6	6	0.13
18	5.99	0.13
16	5.97	0.13
15.2	5.96	0.13
16.8	5.95	0.13
16.8	5.93	0.13
16.8	5.92	0.13
18.5	5.91	0.13
18.5	5.89	0.13
18	5.88	0.13
17.6	5.87	0.13
15.6	5.85	0.13
15.2	5.84	0.13
22.3	5.83	0.13
19.5	5.82	0.13
15.6	5.8	0.13
14.9	5.79	0.13
14.9	5.78	0.13
14.9	5.76	0.13
16.4	5.75	0.13
16.8	5.74	0.13
16.8	5.72	0.13
16.4	5.71	0.13
16.8	5.7	0.13
18	5.68	0.13
17.2	5.67	0.13
17.2	5.66	0.13
15.6	5.65	0.13
15.6	5.63	0.13
15.6	5.62	0.13
15.6	5.61	0.13
17.6	5.59	0.13
17.6	5.58	0.13
17.6	5.57	0.13
18.5	5.55	0.13
18.5	5.54	0.13
15.6	5.53	0.13
23.5	5.51	0.13
24.1	5.5	0.13
17.2	5.49	0.13
17.2	5.47	0.13
23.5	5.46	0.13
22.3	5.45	0.13
20	5.44	0.13
20.5	5.42	0.13
21.1	5.41	0.13
26	5.4	0.13
27.9	5.38	0.13
27.9	5.37	0.13
27.9	5.36	0.13
27.3	5.34	0.13
21.1	5.33	0.13
20.5	5.32	0.13
21.1	5.3	0.13
24.1	5.29	0.13
23.5	5.28	0.13
22.9	5.27	0.13
22.3	5.25	0.13
22.3	5.24	0.13
23.5	5.23	0.13
25.4	5.21	0.13
36.2	5.2	0.13
37	5.19	0.14
85.1	5.17	0.14
103	5.16	0.14
124	5.15	0.14
188	5.13	0.14
176	5.12	0.14
152	5.11	0.14
138	5.1	0.14
120	5.08	0.14
99	5.07	0.14
95.1	5.06	0.14
87.5	5.04	0.14
77.1	5.03	0.14
74.9	5.02	0.14
67.5	5	0.14
67.5	4.99	0.14
65.5	4.98	0.14
59.9	4.96	0.14
55.6	4.95	0.14
53.1	4.94	0.14
52.2	4.93	0.14
54.7	4.91	0.14
49	4.9	0.14
45.1	4.89	0.14
49	4.87	0.14
45.1	4.86	0.14
51.4	4.85	0.14
47.4	4.83	0.14
81.6	4.82	0.14
92.5	4.81	0.14
117	4.79	0.14
